category	authors	title	venue	year	pmid	doi	pmcid	url	fulltext_xml	topics	status
hematologic_coagulopathy	Jain T, Olson TS, Locke FL.	How I treat cytopenias after CAR T-cell therapy	Blood	2023	36800563	10.1182/blood.2022017415	PMC10646792	https://pmc.ncbi.nlm.nih.gov/articles/PMC10646792/	fulltext/jain_2023_pmid36800563.xml	clinical;cytokine_release_syndrome;hematologic_coagulopathy;hlh_mas;infection_immune;neurotoxicity;organ_function;pediatric;review;steroids_immunomodulation	fulltext_xml
hematologic_coagulopathy	Jess J, Yates B, Dulau-Florea A, Parker K, Inglefield J, Lichtenstein D, Schischlik F, Ongkeko M, Wang Y, Shahani S, Cullinane A, Smith H, Kane E, Little L, Chen D, Fry TJ, Shalabi H, Wang HW, Satpathy A, Lozier J, Shah NN.	CD22 CAR T-cell associated hematologic toxicities, endothelial activation and relationship to neurotoxicity	Journal for immunotherapy of cancer	2023	37295816	10.1136/jitc-2022-005898	PMC10277551	https://pmc.ncbi.nlm.nih.gov/articles/PMC10277551/	fulltext/jess_2023_pmid37295816.xml	clinical;cytokine_release_syndrome;hematologic_coagulopathy;hlh_mas;neurotoxicity;on_target_off_tumor;organ_function;pediatric	fulltext_xml
hematologic_coagulopathy	Kenkel TJ, Sridhar N, Hammons LR, Hintzke M, Shah NN.	Bone Marrow Aplasia after CAR-T-Cell Therapy for Relapsed/Refractory Burkitt's Lymphoma	Medical sciences (Basel, Switzerland)	2023	37873752	10.3390/medsci11040067	PMC10594436	https://pmc.ncbi.nlm.nih.gov/articles/PMC10594436/	fulltext/kenkel_2023_pmid37873752.xml	clinical;cytokine_release_syndrome;hematologic_coagulopathy;hematologic_malignancy;hlh_mas;infection_immune;organ_function	fulltext_xml
hematologic_coagulopathy	Liu R, Lv Y, Hong F, Zhao W, Lei B, Liu J, Zhang W, He A, Wang F.	A comprehensive analysis of coagulopathy during anti-B cell maturation antigen chimeric antigen receptor-T therapy in multiple myeloma, a retrospective study based on LEGEND-2	Hematological oncology	2023	37186314	10.1002/hon.3155		https://doi.org/10.1002/hon.3155		clinical;cytokine_release_syndrome;grading_management;hematologic_coagulopathy;hematologic_malignancy;hepatic;organ_function	metadata_only
hematologic_coagulopathy	Qiu T, Hu L, Zhang Y, Wang Y, Ma S, Li D, Li Z, Xu K.	Cytopenia after CAR‑T cell therapy: Analysis of 63 patients with relapsed and refractory B‑cell non‑Hodgkin lymphoma	Oncology letters	2023	37427346	10.3892/ol.2023.13924	PMC10326650	https://pmc.ncbi.nlm.nih.gov/articles/PMC10326650/		clinical;cytokine_release_syndrome;grading_management;hematologic_coagulopathy;hematologic_malignancy;organ_function	metadata_only
hematologic_coagulopathy	Rejeski K, Greco R, Onida F, Sánchez-Ortega I, Bonini C, Sureda A, Gribben JG, Yakoub-Agha I, Subklewe M.	An International Survey on Grading, Diagnosis, and Management of Immune Effector Cell-Associated Hematotoxicity (ICAHT) Following CAR T-cell Therapy on Behalf of the EBMT and EHA	HemaSphere	2023	37125259	10.1097/hs9.0000000000000889	PMC10145722	https://pmc.ncbi.nlm.nih.gov/articles/PMC10145722/	fulltext/rejeski_2023_pmid37125259.xml	clinical;cytokine_release_syndrome;grading_management;hematologic_coagulopathy;hlh_mas;infection_immune;organ_function	fulltext_xml
hematologic_coagulopathy	Song Z, Tu D, Tang G, Liu N, Tai Z, Yang J, Wang Y.	Hemophagocytic lymphohistiocytosis and disseminated intravascular coagulation are underestimated, but fatal adverse events in chimeric antigen receptor T-cell therapy	Haematologica	2023	36794498	10.3324/haematol.2022.281455	PMC10388276	https://pmc.ncbi.nlm.nih.gov/articles/PMC10388276/	fulltext/song_2023_pmid36794498.xml	clinical;hematologic_coagulopathy;hematologic_malignancy;hlh_mas;infection_immune;organ_function	fulltext_xml
hematologic_coagulopathy	Strati P, Li X, Deng Q, Marques-Piubelli ML, Henderson J, Watson G, Deaton L, Cain T, Yang H, Ravanmehr V, Fayad LE, Iyer SP, Nastoupil LJ, Hagemeister FB, Parra ER, Saini N, Takahashi K, Fowler NH, Westin JR, Steiner RE, Nair R, Flowers CR, Wang L, Ahmed S, Al-Atrash G, Vega F, Neelapu SS, Green MR.	Prolonged cytopenia following CD19 CAR T cell therapy is linked with bone marrow infiltration of clonally expanded IFNγ-expressing CD8 T cells	Cell reports. Medicine	2023	37586321	10.1016/j.xcrm.2023.101158	PMC10439270	https://pmc.ncbi.nlm.nih.gov/articles/PMC10439270/	fulltext/strati_2023_pmid37586321.xml	clinical;cytokine_release_syndrome;hematologic_coagulopathy;hematologic_malignancy;neurotoxicity;organ_function	fulltext_xml
hematologic_coagulopathy	Wang X, Li C, Luo W, Zhang Y, Huang Z, Xu J, Mei H, Hu Y.	IL-10 plus the EASIX score predict bleeding events after anti-CD19 CAR T-cell therapy	Annals of hematology	2023	37814134	10.1007/s00277-023-05477-y	PMC10640490	https://pmc.ncbi.nlm.nih.gov/articles/PMC10640490/	fulltext/wang_2023_pmid37814134.xml	clinical;cytokine_release_syndrome;grading_management;hematologic_coagulopathy;hematologic_malignancy;organ_function;renal_electrolyte;steroids_immunomodulation	fulltext_xml
hematologic_coagulopathy	Taneja A, Jain T.	CAR-T-OPENIA: Chimeric antigen receptor T-cell therapy-associated cytopenias	EJHaem	2022	35844301	10.1002/jha2.350	PMC9175816	https://pmc.ncbi.nlm.nih.gov/articles/PMC9175816/	fulltext/taneja_2022_pmid35844301.xml	clinical;cytokine_release_syndrome;hematologic_coagulopathy;organ_function;review	fulltext_xml
