category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
viral_vector	Tang Y, E Q, Ma L, Li X, Zhang Y, Wang W, Jiang Z, Zhang X, Hou Y, Du J, Zhu Y, Dong H, Xu Y, Tian T, Cheng L, Ma Q, Li J, Zhou G, Huang Y.	Oncolytic virus OVV-03 enhances CAR-T cell therapy against glioblastoma via immune modulation and specific HER2 upregulation	Oncoimmunology	2026	41496551	10.1080/2162402x.2025.2612377	PMC12785206	https://pmc.ncbi.nlm.nih.gov/articles/PMC12785206/		fulltext/tang_2026_pmid41496551.xml	cell_therapy_delivery;viral_vector	fulltext_xml
viral_vector	Uotani K, Fujiwara T, Takatori R, Yamashita K, Matsumoto K, Oda Y, Shinohara K, Tazawa H, Fujiwara T, Ozaki T.	Virotherapy for Spinal and Spinal Cord Tumors: Current Evidence and Future Perspectives	Preprints.org	2026		10.20944/preprints202608.0105.v1		https://doi.org/10.20944/preprints202608.0105.v1			brainstem;dipg_dmg;nanoparticle;viral_vector	metadata_only
viral_vector	Ye D, Kayithi A, Yuan J, Wang I, Xu T, Boisvert M, Paquet ME, Chen H.	Whole-brain biodistribution of AAV2, AAV8, and AAV-B10 after unilateral intracerebroventricular injection	Molecular therapy. Advances	2026	42518515	10.1016/j.omta.2026.201798		https://doi.org/10.1016/j.omta.2026.201798			brainstem;imaging_dosimetry_modeling;intrathecal_csf;viral_vector	metadata_only
viral_vector	Zeng W, Wang P, Fang S, Ge S, Jia W, Peng S, Wang M, Qin X, Zhang W, Gao J, Su X, Yuan G, Wu J, Liu Y, Wang Y, Lu H, Mu R, Wu F, Chang Q, Jin G, Meng F, Zhang J, Liu F.	ON-01, an engineered recombinant oncolytic herpes simplex virus type-1, in recurrent glioma: A single-arm, phase 1/2 study	Neuro-oncology	2026	41527280	10.1093/neuonc/noag005		https://doi.org/10.1093/neuonc/noag005			viral_vector	metadata_only
viral_vector	Alomari O, Eyvazova H, Güney B, Al Juhmani R, Odabasi H, Al-Rawabdeh L, Mokresh ME, Erginoglu U, Keles A, Baskaya MK.	Oncolytic Therapies for Glioblastoma: Advances, Challenges, and Future Perspectives	Cancers	2025	40805247	10.3390/cancers17152550	PMC12346333	https://pmc.ncbi.nlm.nih.gov/articles/PMC12346333/		fulltext/alomari_2025_pmid40805247.xml	systemic_bbb_pharmacology;viral_vector	fulltext_xml
viral_vector	Cao T, Hao T, Zhang X, Chen B, Zhang H, Shao L, He W, Li B, Zheng Q, Ji P, Tao K.	TAMs-specific ARF1 inhibition reprograms glioma microenvironment and enhances the therapeutic effect of oncolytic adenovirus	iScience	2025	40520103	10.1016/j.isci.2025.112696	PMC12164047	https://pmc.ncbi.nlm.nih.gov/articles/PMC12164047/		fulltext/cao_2025_pmid40520103.xml	viral_vector	fulltext_xml
viral_vector	Chen Y, Ren L, Li X, Wu Y, Zhao H, Feng R, Zhang W, Zhao J, Yang P, Mao Q, Xia H.	Novel oncolytic adenovirus-based PEPvIII vaccine displays a super antitumor effect in glioma models	Journal for immunotherapy of cancer	2025	40998516	10.1136/jitc-2024-010750	PMC12481307	https://pmc.ncbi.nlm.nih.gov/articles/PMC12481307/		fulltext/chen_2025_pmid40998516.xml	viral_vector	fulltext_xml
viral_vector	Guo C, Long Z, Lin P, Shen Y, Zhong Y, Qian J, Yu J, Zhao W, Liu F, Ma Y, Zheng J, Yang J, Zhao S, Ran X, Xia Z, Wu C, Cai Y, Wang C, Xie Q.	BRD9 inhibition overcomes oncolytic virus therapy resistance in glioblastoma	Cell reports. Medicine	2025	40744020	10.1016/j.xcrm.2025.102258	PMC12432354	https://pmc.ncbi.nlm.nih.gov/articles/PMC12432354/		fulltext/guo_2025_pmid40744020.xml	viral_vector	fulltext_xml
viral_vector	Korff V, El-Debs I, Sehl-Ewert J.	Spatial and temporal mapping of early alphaherpesvirus invasion routes into the mouse central nervous system	Journal of neurovirology	2025	41017005	10.1007/s13365-025-01278-3	PMC12618451	https://pmc.ncbi.nlm.nih.gov/articles/PMC12618451/		fulltext/korff_2025_pmid41017005.xml	brainstem;intranasal;viral_vector	fulltext_xml
viral_vector	Labiano S, Marco-Sanz J, Ausejo-Mauleon I, Laspidea V, Hernández-Osuna R, Garcia-Moure M, Nava D, Nuin S, Gonzalez-Huarriz M, Phoenix TN, Tamayo I, Zalacain M, Lacalle A, Marrodan L, Puigdelloses M, Hervás-Corpión I, Ochoa MC, Casares N, Becher OJ, Gomez-Manzano C, Fueyo J, Perez-Larraya JG, Patiño-Garcia A, Alonso MM.	Targeting the CD40 costimulatory receptor to improve virotherapy efficacy in diffuse midline gliomas	Cell reports. Medicine	2025	40578365	10.1016/j.xcrm.2025.102204	PMC12281365	https://pmc.ncbi.nlm.nih.gov/articles/PMC12281365/		fulltext/labiano_2025_pmid40578365.xml	dipg_dmg;viral_vector	fulltext_xml
