category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	supp_pdf	topics	status
primary_research	Devaud C, Bilhere E, Loizon S et al.	Antitumor activity of gammadelta T cells reactive against cytomegalovirus-infected cells in a mouse xenograft tumor model.	Cancer research	2009	19383918	10.1158/0008-5472.CAN-08-3037		https://doi.org/10.1158/0008-5472.CAN-08-3037			Vd2_Vg9;mechanism_cytotox;colorectal	no_pmcid
primary_research	Nagamine I, Yamaguchi Y, Ohara M et al.	Induction of gamma delta T cells using zoledronate plus interleukin-2 in patients with metastatic cancer.	Hiroshima journal of medical sciences	2009	19400555			https://pubmed.ncbi.nlm.nih.gov/19400555/			aminobisphosphonate;adoptive_expansion;mechanism_cytotox;colorectal	no_pmcid
primary_research	Kang N, Zhou J, Zhang T et al.	Adoptive immunotherapy of lung cancer with immobilized anti-TCRgammadelta antibody-expanded human gammadelta T-cells in peripheral blood.	Cancer biology & therapy	2009	19471115	10.4161/cbt.8.16.8950		https://doi.org/10.4161/cbt.8.16.8950			phosphoantigen_BTN;adoptive_expansion;Vd1;Vd2_Vg9;tumor_infiltrating;mechanism_cytotox;lung	no_pmcid
primary_research	Brinkrolf P, Landmeier S, Altvater B et al.	A high proportion of bone marrow T cells with regulatory phenotype (CD4+CD25hiFoxP3+) in Ewing sarcoma patients is associated with metastatic disease.	International journal of cancer	2009	19480009	10.1002/ijc.24461		https://doi.org/10.1002/ijc.24461			tumor_infiltrating;immunosuppression	no_pmcid
primary_research	Smetak M, Kimmel B, Birkmann J et al.	Clinical-scale single-step CD4(+) and CD8(+) cell depletion for donor innate lymphocyte infusion (DILI).	Bone marrow transplantation	2008	18037935	10.1038/sj.bmt.1705942		https://doi.org/10.1038/sj.bmt.1705942			adoptive_expansion;mechanism_cytotox	no_pmcid
primary_research	Boëdec A, Sicard H, Dessolin J et al.	Synthesis and biological activity of phosphonate analogues and geometric isomers of the highly potent phosphoantigen (E)-1-hydroxy-2-methylbut-2-enyl 4-diphosphate.	Journal of medicinal chemistry	2008	18303828	10.1021/jm701101g		https://doi.org/10.1021/jm701101g			phosphoantigen_BTN;mechanism_cytotox	no_pmcid
primary_research	Viey E, Lucas C, Romagne F et al.	Chemokine receptors expression and migration potential of tumor-infiltrating and peripheral-expanded Vgamma9Vdelta2 T cells from renal cell carcinoma patients.	Journal of immunotherapy (Hagerstown, Md. : 1997)	2008	18317356	10.1097/CJI.0b013e3181609988		https://doi.org/10.1097/CJI.0b013e3181609988			phosphoantigen_BTN;adoptive_expansion;Vd2_Vg9;tumor_infiltrating;mechanism_cytotox;renal	no_pmcid
primary_research	Saitoh A, Narita M, Watanabe N et al.	Anti-tumor cytotoxicity of gammadelta T cells expanded from peripheral blood cells of patients with myeloma and lymphoma.	Medical oncology (Northwood, London, England)	2008	18488155	10.1007/s12032-007-9004-4		https://doi.org/10.1007/s12032-007-9004-4			aminobisphosphonate;adoptive_expansion;mechanism_cytotox;lymphoma;myeloma	no_pmcid
primary_research	Wang Z, Zhang T, Hu H et al.	Targeting solid tumors via T cell receptor complementarity-determining region 3delta in an engineered antibody.	Cancer letters	2008	18782650	10.1016/j.canlet.2008.07.015		https://doi.org/10.1016/j.canlet.2008.07.015			adoptive_expansion;Vd2_Vg9;tumor_infiltrating;mechanism_cytotox;ovarian;hepatocellular	no_pmcid
primary_research	Schilbach K, Frommer K, Meier S et al.	Immune response of human propagated gammadelta-T-cells to neuroblastoma recommend the Vdelta1+ subset for gammadelta-T-cell-based immunotherapy.	Journal of immunotherapy (Hagerstown, Md. : 1997)	2008	18832998	10.1097/CJI.0b013e31818955ad		https://doi.org/10.1097/CJI.0b013e31818955ad			adoptive_expansion;Vd1;Vd2_Vg9;tumor_infiltrating;neuroblastoma	no_pmcid
primary_research	Murayama M, Tanaka Y, Yagi J et al.	Antitumor activity and some immunological properties of gammadelta T-cells from patients with gastrointestinal carcinomas.	Anticancer research	2008	19031935			https://pubmed.ncbi.nlm.nih.gov/19031935/			adoptive_expansion;Vd2_Vg9;mechanism_cytotox;leukemia	no_pmcid
