category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
mrna_tf_reprogramming	Ge H, Wang K, Chen L et al.	Enforced BATF expression via clinically approved LNPs enhances adoptive T-cell therapies	Blood science (Baltimore, Md.)	2026	42245679	10.1097/BS9.0000000000000291	PMC13232917	https://pmc.ncbi.nlm.nih.gov/articles/PMC13232917/		fulltext/ge_2026_pmid42245679.xml	mrna_tf_reprogramming	fulltext_xml
mrna_tf_reprogramming	Ko S, Bae GH, Koh EY et al.	Biomimetic lipid nanoparticles for macrophage reprogramming in cancer immunotherapy	Journal of controlled release : official journal of the Controlled Release Society	2026	42173448	10.1016/j.jconrel.2026.115039		https://doi.org/10.1016/j.jconrel.2026.115039			mrna_tf_reprogramming	metadata_only
mrna_tf_reprogramming	Li H, Lyu C, Cai X et al.	In situ reprogramming of CAR-alveolar macrophages via liposomal nanomedicine for lung cancer immunotherapy	Nature communications	2026	42285952	10.1038/s41467-026-74162-1		https://doi.org/10.1038/s41467-026-74162-1			mrna_tf_reprogramming	metadata_only
mrna_tf_reprogramming	Wang JM, Zhao FY, Zhang Q et al.	Reprogramming Transcriptional Networks via CREB1 Lactylation at K122 Activates HMGB1-Mediated NETosis and Chemoresistance	International journal of biological sciences	2026	42212318	10.7150/ijbs.131303	PMC13215458	https://pmc.ncbi.nlm.nih.gov/articles/PMC13215458/		fulltext/wang_2026_pmid42212318.xml	mrna_tf_reprogramming;lnp_engineering	fulltext_xml
mrna_tf_reprogramming	Wang-Bishop L, Wehbe M, Pastora LE et al.	Nanoparticle Retinoic Acid-Inducible Gene I Agonist for Cancer Immunotherapy	ACS nano	2024	38652829	10.1021/acsnano.3c06225	PMC11080455	https://pmc.ncbi.nlm.nih.gov/articles/PMC11080455/		fulltext/wang_bishop_2024_pmid38652829.xml	mrna_tf_reprogramming;lnp_engineering	fulltext_xml
mrna_tumor_suppressor	Chen Z, Yang Z, Wang C et al.	Stiffness-Gated Cytoplasmic mRNA Delivery Through Engineered Membrane Fusion for Breast Cancer Immunotherapy	Advanced materials (Deerfield Beach, Fla.)	2026	41546399	10.1002/adma.202518208		https://doi.org/10.1002/adma.202518208			mrna_tumor_suppressor	metadata_only
mrna_tumor_suppressor	Dong S, Pan Z, Zhu M et al.	Intravitreal delivery of LATS1 mRNA by lipid nanoparticles as an effective strategy for uveal melanoma therapy	Journal of controlled release : official journal of the Controlled Release Society	2026	41786044	10.1016/j.jconrel.2026.114784		https://doi.org/10.1016/j.jconrel.2026.114784			mrna_tumor_suppressor;lnp_engineering	metadata_only
mrna_tumor_suppressor	Goo YT, Cataldi VN, Grigoriev V et al.	Single-ligand dual-targeting lipid nanoparticles for therapeutic mRNA delivery to glioblastoma across the blood-brain barrier	Journal of controlled release : official journal of the Controlled Release Society	2026	42297114	10.1016/j.jconrel.2026.115107		https://doi.org/10.1016/j.jconrel.2026.115107			mrna_tumor_suppressor;lnp_engineering	metadata_only
mrna_tumor_suppressor	Hu B, Wu P, Zheng L et al.	Suppression of PARP1 enhances PTEN mRNA therapy in castration-resistant prostate cancer by glycolysis disruption	Molecular therapy. Oncology	2026	41696631	10.1016/j.omton.2026.201133	PMC12905993	https://pmc.ncbi.nlm.nih.gov/articles/PMC12905993/		fulltext/hu_2026_pmid41696631.xml	mrna_tumor_suppressor;lnp_engineering	fulltext_xml
mrna_tumor_suppressor	Kim M, Piao Z, Huh J et al.	Phosphatase and tensin homolog mRNA complexed with hyaluronated lipid nanoparticles for transdermal cancer immunotherapy	Journal of controlled release : official journal of the Controlled Release Society	2026	41386375	10.1016/j.jconrel.2025.114518		https://doi.org/10.1016/j.jconrel.2025.114518			mrna_tumor_suppressor	metadata_only
mrna_tumor_suppressor	Liao Y, Zeng X, Zhang X et al.	Optimized Lipid Nanoparticles for Co-Delivery of mRNA and siRNA Therapeutics in Refractory Liver Cancer	Advanced materials (Deerfield Beach, Fla.)	2026	41510588	10.1002/adma.202519473		https://doi.org/10.1002/adma.202519473			mrna_tumor_suppressor;lnp_engineering	metadata_only
mrna_tumor_suppressor	Zeng J, Cao Z, Wang C et al.	Intravesical Delivery of P21 mRNA-Loaded Lipid Nanoparticles as a Tumor Suppressor Replacement Therapy for Bladder Cancer	FASEB journal : official publication of the Federation of American Societies for Experimental Biology	2026	42144924	10.1096/fj.202600049R	PMC13181305	https://pmc.ncbi.nlm.nih.gov/articles/PMC13181305/		fulltext/zeng_2026_pmid42144924.xml	mrna_tumor_suppressor	fulltext_xml
mrna_tumor_suppressor	Farokhzad RA, Luo J, Jia L et al.	Lipid Nanoparticle Delivery of mRNA and siRNA for Concurrent Restoration of Tumor Suppressor and Inhibition of Tumorigenic Driver in Prostate Cancer	ACS nanoscience Au	2025	40862077	10.1021/acsnanoscienceau.4c00066	PMC12371500	https://pmc.ncbi.nlm.nih.gov/articles/PMC12371500/		fulltext/farokhzad_2025_pmid40862077.xml	mrna_tumor_suppressor;mrna_tf_reprogramming;lnp_engineering	fulltext_xml
mrna_tumor_suppressor	Hu Y, He X, Chen P et al.	Lung-targeted delivery of PTEN mRNA combined with anti-PD-1-mediated immunotherapy for In Situ lung cancer treatment	Acta biomaterialia	2025	39875000	10.1016/j.actbio.2025.01.040		https://doi.org/10.1016/j.actbio.2025.01.040			mrna_tumor_suppressor;lnp_engineering	metadata_only
mrna_tumor_suppressor	Wang NN, Luo R, Ji ZH et al.	mRNA nanomedicine reprograms the cell cycle to increase the effectiveness of targeted therapy for HER2-low breast cancers	Journal of controlled release : official journal of the Controlled Release Society	2025	41183572	10.1016/j.jconrel.2025.114383		https://doi.org/10.1016/j.jconrel.2025.114383			mrna_tumor_suppressor	metadata_only
mrna_tumor_suppressor	Kim SS, Moghe M, Rait A et al.	SMARCB1 Gene Therapy Using a Novel Tumor-Targeted Nanomedicine Enhances Anti-Cancer Efficacy in a Mouse Model of Atypical Teratoid Rhabdoid Tumors	International journal of nanomedicine	2024	38895149	10.2147/IJN.S458323	PMC11185260	https://pmc.ncbi.nlm.nih.gov/articles/PMC11185260/		fulltext/kim_2024_pmid38895149.xml	mrna_tumor_suppressor	fulltext_xml
mrna_tumor_suppressor	Kim Y, Choi J, Kim EH et al.	Design of PD-L1-Targeted Lipid Nanoparticles to Turn on PTEN for Efficient Cancer Therapy	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2024	38520717	10.1002/advs.202309917	PMC11165541	https://pmc.ncbi.nlm.nih.gov/articles/PMC11165541/		fulltext/kim_2024_pmid38520717.xml	mrna_tumor_suppressor;lnp_engineering	fulltext_xml
mrna_tumor_suppressor	Li W, Huang M, Wu Z et al.	mRNA-Lipid Nanoparticle-Mediated Restoration of PTPN14 Exhibits Antitumor Effects by Overcoming Anoikis Resistance in Triple-Negative Breast Cancer	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2024	39189475	10.1002/advs.202309988	PMC11348215	https://pmc.ncbi.nlm.nih.gov/articles/PMC11348215/		fulltext/li_2024_pmid39189475.xml	mrna_tumor_suppressor;gene_editing	fulltext_xml
mrna_tumor_suppressor	Reznik SE, Tiwari AK, Chavda V et al.	The delivery of N-myc downstream-regulated gene 2 (NDRG2) self-amplifying mRNA via modified lipid nanoparticles as a potential treatment for drug-resistant and metastatic cancers	Medical review (2021)	2024	38919399	10.1515/mr-2024-0004	PMC11195423	https://pmc.ncbi.nlm.nih.gov/articles/PMC11195423/		fulltext/reznik_2024_pmid38919399.xml	mrna_tumor_suppressor;sarna_replicon	fulltext_xml
mrna_tumor_suppressor	Saraswat A, Vemana HP, Dukhande V et al.	Novel gene therapy for drug-resistant melanoma: Synergistic combination of PTEN plasmid and BRD4 PROTAC-loaded lipid nanocarriers	Molecular therapy. Nucleic acids	2024	39238805	10.1016/j.omtn.2024.102292	PMC11374965	https://pmc.ncbi.nlm.nih.gov/articles/PMC11374965/		fulltext/saraswat_2024_pmid39238805.xml	mrna_tumor_suppressor	fulltext_xml
mrna_tumor_suppressor	Korzun T, Moses AS, Kim J et al.	Nanoparticle-Based Follistatin Messenger RNA Therapy for Reprogramming Metastatic Ovarian Cancer and Ameliorating Cancer-Associated Cachexia	Small (Weinheim an der Bergstrasse, Germany)	2022	36098251	10.1002/smll.202204436	PMC9633376	https://pmc.ncbi.nlm.nih.gov/articles/PMC9633376/			mrna_tumor_suppressor;mrna_tf_reprogramming	metadata_only
mrna_tumor_suppressor	Tang Q, Liu J, Jiang Y et al.	Cell-Selective Messenger RNA Delivery and CRISPR/Cas9 Genome Editing by Modulating the Interface of Phenylboronic Acid-Derived Lipid Nanoparticles and Cellular Surface Sialic Acid	ACS applied materials & interfaces	2019	31763806	10.1021/acsami.9b17749		https://doi.org/10.1021/acsami.9b17749			mrna_tumor_suppressor;gene_editing	metadata_only
mrna_tumor_suppressor	Ren S, Kang MR, Wang J et al.	Targeted induction of endogenous NKX3-1 by small activating RNA inhibits prostate tumor growth	The Prostate	2013	23836514	10.1002/pros.22709		https://doi.org/10.1002/pros.22709			mrna_tumor_suppressor;sarna_replicon	metadata_only
mrna_tumor_suppressor	Place RF, Wang J, Noonan EJ et al.	Formulation of Small Activating RNA Into Lipidoid Nanoparticles Inhibits Xenograft Prostate Tumor Growth by Inducing p21 Expression	Molecular therapy. Nucleic acids	2012	23343884	10.1038/mtna.2012.5	PMC3381590	https://pmc.ncbi.nlm.nih.gov/articles/PMC3381590/		fulltext/place_2012_pmid23343884.xml	mrna_tumor_suppressor;sarna_replicon;lnp_engineering	fulltext_xml
mrna_tumor_suppressor	Choi SH, Jin SE, Lee MK et al.	Novel cationic solid lipid nanoparticles enhanced p53 gene transfer to lung cancer cells	European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V	2008	17881199	10.1016/j.ejpb.2007.07.011		https://doi.org/10.1016/j.ejpb.2007.07.011			mrna_tumor_suppressor;lnp_engineering	metadata_only
other	Meng S, Hara T, Sato T et al.	Targeting fibroblast activation protein in solid tumors via LNP-mediated CAR-mRNA delivery promotes durable regression in murine models	Scientific reports	2025	41366016	10.1038/s41598-025-31128-5	PMC12800119	https://pmc.ncbi.nlm.nih.gov/articles/PMC12800119/		fulltext/meng_2025_pmid41366016.xml	other	fulltext_xml
review	Khizar M, Aminpoor H, Zaib M et al.	Nanoparticle-enhanced CRISPR delivery: paving the path for 	Annals of medicine and surgery (2012)	2026	41496934	10.1097/MS9.0000000000004414	PMC12768121	https://pmc.ncbi.nlm.nih.gov/articles/PMC12768121/		fulltext/khizar_2026_pmid41496934.xml	review;gene_editing;clinical	fulltext_xml
review	Lv B, Li L, Liu M et al.	Circular RNAs in cancer immunology: Immune escape, therapeutic resistance, and nanomedicine synergies	Translational oncology	2026	41353994	10.1016/j.tranon.2025.102631	PMC12741295	https://pmc.ncbi.nlm.nih.gov/articles/PMC12741295/		fulltext/lv_2026_pmid41353994.xml	review;mrna_cytokine;circrna	fulltext_xml
