,logFC,P.Value,adj.P.Val
LGALS7B,-1.7766558,5.96E-05,0.018505426
LGALS7,-1.7766558,5.96E-05,0.018505426
HK1,-1.1287133,5.99E-05,0.018528468
OR6N1,-1.1089547,5.99E-05,0.018502758
MMP3,-53.526188,6.06E-05,0.018616984
PLIN4,-3.0631154,6.13E-05,0.018752632
DERA,-1.1891394,6.16E-05,0.018811264
ASPN,-4.5498934,6.41E-05,0.019412772
SMC4,-1.3340137,6.49E-05,0.019584113
B3GNT5,-2.8491998,6.53E-05,0.019656274
KRT6C,-6.268316,6.77E-05,0.020342625
OSR1,-2.2996294,6.85E-05,0.020462586
CD80,-1.3364298,6.99E-05,0.020832755
PSAT1,-1.7978704,7.05E-05,0.020947448
LEPRE1,-1.5400583,7.76E-05,0.022934165
NETO1,-1.2648683,8.48E-05,0.024680043
MTMR7,-1.3077263,8.61E-05,0.024981769
CSGALNACT2,-1.2927215,8.74E-05,0.025300765
ENPP6,-2.276797,9.10E-05,0.026062318
TRIM11,-1.2890099,9.32E-05,0.026612516
C8orf79,-1.5348127,9.35E-05,0.026628951
C16orf45,-2.4615753,9.37E-05,0.026616652
MYH14,-1.2555146,1.01E-04,0.028292999
C7orf41,-2.4981942,1.01E-04,0.028482253
CD300LG,-1.5106252,1.04E-04,0.029156888
HLTF,-2.1768794,1.09E-04,0.03039002
NEUROD2,-1.1569221,1.10E-04,0.030541273
LOC100422737,-1.2331711,1.13E-04,0.031201674
PEX13,-1.1795866,1.14E-04,0.031428288
OGN,-7.162179,1.19E-04,0.032868649
DCAF7,-1.170911,1.20E-04,0.032888852
PBRM1,-1.5035603,1.22E-04,0.03341287
TSGA14,-1.0988106,1.22E-04,0.033371149
SGCZ,-1.1914645,1.28E-04,0.034838764
F2RL2,-1.7697606,1.33E-04,0.035981978
SLC6A14,-4.8622723,1.34E-04,0.036107319
ZFP36L2,-2.0070724,1.37E-04,0.03685346
MME,-9.127089,1.42E-04,0.037929298
CSDC2,-1.9429791,1.43E-04,0.03806887
LEP,-6.113447,1.43E-04,0.03818673
LHFPL5,-1.2862023,1.47E-04,0.038815098
ASB9,-2.5485852,1.48E-04,0.039083089
KIF17,-1.1040535,1.48E-04,0.039048227
SEMA3D,-1.216515,1.52E-04,0.039650339
C13orf33,-1.7528301,1.53E-04,0.039831635
EGFL6,-5.1730623,1.55E-04,0.040202163
HTRA1,-2.2048793,1.62E-04,0.041966213
GREM1,-1.7761077,1.72E-04,0.043958979
EMR4P,-1.1057478,1.73E-04,0.044216987
UBL4B,-1.318892,1.75E-04,0.044441118
GPR111,-1.3702111,1.77E-04,0.044538809
MMP2,-3.1394374,1.79E-04,0.044924435
GINS4,-1.6834328,1.81E-04,0.045431688
DNAJB4,-1.9910984,1.84E-04,0.046044949
CIDEC,-1.4862295,1.85E-04,0.046100005
FGF18,-3.3302083,1.92E-04,0.047401405
EPHX3,-1.5776236,1.95E-04,0.048074451
SAA2,-13.495534,1.98E-04,0.048593998
GPM6B,-7.330644,1.98E-04,0.048524919
SNX5,-3.0541253,2.00E-04,0.048935535
KIAA1033,-1.41147,2.01E-04,0.049070867
NCALD,-1.8330739,2.07E-04,0.05035619
PDLIM5,-1.3604219,2.08E-04,0.050489825
GNA13,-1.090083,2.09E-04,0.050505212
GLIS3,-1.493961,2.19E-04,0.052235016
NF2,-1.5972167,2.23E-04,0.052870069
PTPN11,-1.522823,2.23E-04,0.052785304
BAG4,-1.9784532,2.24E-04,0.053043117
PLCB4,-3.7494826,2.25E-04,0.053016845
APC,-1.2852423,2.28E-04,0.053529393
WFDC5,-1.739765,2.34E-04,0.054296996
C18orf34,-2.4762747,2.38E-04,0.055107754
ARL5B,-1.773058,2.41E-04,0.055711162
EYA2,-5.7214637,2.42E-04,0.055975792
HHLA1,-1.1054761,2.42E-04,0.055877603
ITGB3,-2.0929463,2.44E-04,0.056145365
FAM124A,-1.3214645,2.51E-04,0.057569336
C19orf2,-1.2803411,2.54E-04,0.058155651
HRK,-4.553553,2.56E-04,0.058468643
NR2C2,-1.3815956,2.66E-04,0.060117425
MTF1,-1.6663635,2.73E-04,0.061489941
CTGF,-2.264271,2.77E-04,0.062198679
GALNT1,-1.1842078,2.78E-04,0.062179011
RSAD2,-3.9195645,2.79E-04,0.062085083
LOC645944,-1.3745608,2.80E-04,0.062281223
CHRDL2,-1.6055144,2.92E-04,0.064439574
LHFP,-1.3498262,2.96E-04,0.065052118
PLA2G5,-1.9559261,3.01E-04,0.066062292
BANF2,-1.2952245,3.03E-04,0.066181215
RDH5,-1.5905136,3.06E-04,0.066740807
C19orf26,-1.074065,3.13E-04,0.067991672
TEK,-1.6238153,3.15E-04,0.068322806
NKAIN3,-1.2211468,3.16E-04,0.068259829
ACHE,-1.1947999,3.23E-04,0.069577749
RRAD,-1.5452065,3.28E-04,0.070280485
SLC9A2,-1.4953918,3.28E-04,0.070289103
FAM194B,-1.175185,3.31E-04,0.070668377
CCR5,-1.4469367,3.36E-04,0.071592039
SLC19A3,-1.2212583,3.44E-04,0.073149417
XKR6,-1.7596897,3.44E-04,0.073064751
ZNF37B,-1.5503976,3.44E-04,0.072969921
SHFM1,-1.092016,3.47E-04,0.073549523
KRT16P2,-2.4895327,3.48E-04,0.073568848
EPHA2,-1.3377558,3.63E-04,0.076319465
DBR1,-1.2961043,3.71E-04,0.077440349
KCNJ2,-2.415005,3.92E-04,0.08053538
ONECUT2,-2.756657,3.93E-04,0.080522465
SAA1,-45.485176,4.06E-04,0.082771481
LHX2,-3.7031214,4.26E-04,0.085763049
OXT,-2.6551337,4.26E-04,0.085622305
FOXD1,-3.6283221,4.27E-04,0.085675186
SLC24A6,-1.11069,4.27E-04,0.08559096
TLL1,-1.9951442,4.47E-04,0.088947947
GABRP,-3.8480966,4.59E-04,0.090953678
PF4V1,-1.1407077,4.61E-04,0.09112795
NAV3,-2.1197264,4.69E-04,0.09231705
LOC283177,-1.2535636,4.80E-04,0.09404283
SPAST,-1.1912974,4.81E-04,0.094023459
PADI2,-1.2429111,4.82E-04,0.093937637
C13orf15,-1.2091774,4.83E-04,0.094092035
SURF4,-1.4413105,4.86E-04,0.094345264
IFIH1,-1.5447185,4.93E-04,0.095217787
SPRR3,-1.4764827,5.09E-04,0.097708503
FAM122A,-1.2529199,5.11E-04,0.097966158
ACTRT2,-1.1838489,5.13E-04,0.098114664
SPARCL1,-1.5163164,5.18E-04,0.098997329
POLR1E,-1.6996049,5.23E-04,0.099474849
SHISA6,-8.571757,5.24E-04,0.099482602
LOC100133099,-1.6257385,5.25E-04,0.09961845
LOC729273,-1.6257385,5.25E-04,0.09961845
ZBTB47,-1.3143766,5.26E-04,0.099647712
SLC12A1,-1.1487724,5.30E-04,0.100034164
C10orf84,-1.2355125,5.57E-04,0.103422158
MAP3K8,-1.3137102,5.70E-04,0.105410021
CNTFR,-1.7904255,5.70E-04,0.105240557
CAV1,-3.435477,5.70E-04,0.105079112
STK38L,-1.6243391,5.76E-04,0.105801771
TMX1,-1.3670976,5.83E-04,0.106553657
ADM,-5.669212,6.09E-04,0.110490124
YIPF5,-1.4635544,6.17E-04,0.111616495
WT1,-20.788517,6.18E-04,0.111534267
PQLC1,-1.3070247,6.26E-04,0.112705246
SGK1,-1.9768242,6.29E-04,0.113170096
SH3GL2,-2.276968,6.43E-04,0.115352858
CLIP3,-1.1793118,6.43E-04,0.115264879
TMEM209,-1.283344,6.55E-04,0.116984599
FANCM,-3.0480974,6.55E-04,0.116852302
SEZ6L,-1.4994272,6.64E-04,0.118192333
POU3F2,-2.7785304,6.64E-04,0.118004053
FAM167A,-2.0536299,6.76E-04,0.119433796
COL6A6,-6.483349,6.76E-04,0.11931071
TRPC4,-1.555334,7.02E-04,0.122895226
PIGK,-1.1673704,7.03E-04,0.122858054
TPI1,-1.2283324,7.06E-04,0.122888746
GPR26,-2.4267156,7.09E-04,0.123066859
MCART3P,-1.5761572,7.16E-04,0.123857016
KLK8,-8.093157,7.21E-04,0.124105786
IL6,-1.518872,7.43E-04,0.127271822
ADAMTS4,-3.1281173,7.46E-04,0.12742365
KRT5,-4.682578,7.49E-04,0.127730691
PIAS2,-1.540586,7.78E-04,0.132039644
LONRF3,-1.5614011,7.81E-04,0.132358007
NNAT,-1.6970558,7.83E-04,0.132472179
LSM11,-1.3818048,7.84E-04,0.132354541
FLNC,-2.110841,7.94E-04,0.133919093
LOC100127984,-2.3868732,8.11E-04,0.13579234
RPS6KA2,-2.3868732,8.11E-04,0.13579234
SLC6A2,-1.1355567,8.14E-04,0.13596725
IL8,-2.472711,8.24E-04,0.13726334
TMEM27,-1.2554104,8.24E-04,0.137132409
SMCHD1,-1.1175971,8.41E-04,0.139056784
RSPRY1,-1.0710132,8.48E-04,0.139747723
WIT1,-2.1036339,8.54E-04,0.140302725
GRIA3,-3.4964068,8.79E-04,0.143507627
CELSR3,-2.0371532,8.84E-04,0.143958751
MBD2,-1.7219653,8.85E-04,0.143954005
LOC645249,-6.9190836,8.85E-04,0.14380128
SH3PXD2B,-1.719602,9.10E-04,0.147451819
TOR2A,-1.1552238,9.19E-04,0.148456022
SIX4,-1.132028,9.23E-04,0.14879093
INSIG1,-1.902329,9.25E-04,0.14899565
HRASLS,-12.132668,9.26E-04,0.148839345
ZNF57,-1.5765408,9.28E-04,0.149076359
WDR77,-1.1711708,9.41E-04,0.150640469
CXorf41,-1.5308167,9.50E-04,0.151873682
MEIG1,-1.5403905,9.56E-04,0.152439318
ATP6V1A,-1.4670461,9.71E-04,0.154407728
DENND2A,-1.4021611,9.74E-04,0.154689572
ELP3,-1.3931878,0.001007917,0.158419802
DSC3,-3.0347297,0.001024424,0.160560017
SHC3,-2.3702435,0.001046478,0.163096528
PHTF2,-1.1961387,0.001061514,0.164746698
DCAF12L1,-1.2527382,0.001063477,0.164591626
ARHGEF18,-1.2097341,0.001084969,0.166987591
LOC100128573,-1.2097341,0.001084969,0.166987591
TUBB2B,-2.421122,0.001091476,0.167524987
FMO3,-1.4550363,0.001100143,0.168389997
F13A1,-1.7074229,0.0011135,0.169966243
FBXL13,-1.2178085,0.001121592,0.170966663
RBM22,-2.073794,0.001122813,0.170918357
GAS2L2,-1.4700422,0.00112453,0.170945426
SPRY2,-2.3582718,0.001136798,0.1721041
KRT6A,-5.229952,0.001188249,0.178676303
RUFY3,-1.2383386,0.00119063,0.178792411
DIO2,-4.358325,0.001200963,0.18010062
APP,-1.5032281,0.00120556,0.180303416
GATA4,-1.4398894,0.001206911,0.180262802
BCL10,-1.896596,0.001244863,0.184937051
TSHZ1,-1.4463543,0.001244994,0.184709525
HLA-DQB1,-1.5776184,0.00124962,0.184902182
GUCY1A2,-1.5747889,0.001258211,0.185925735
DIAPH1,-1.4828883,0.001260932,0.186080441
FKBP1A,-1.4925026,0.001266993,0.186726842
SUMO2,-1.1794668,0.001268813,0.186747468
OLFML2A,-2.6248226,0.001277702,0.187311434
MRPL19,-1.3865988,0.001285759,0.188244233
BAIAP2L2,-1.4704014,0.001311789,0.191299173
RNF13,-1.3217826,0.001322915,0.191914185
C5orf46,-6.0279794,0.001323061,0.191685155
RASGEF1B,-1.5861248,0.00132362,0.191516486
SCRG1,-2.728945,0.00133584,0.192532469
MPP5,-1.9351588,0.001337338,0.192498723
SIGLEC8,-1.1384972,0.001358881,0.194842452
ATP10D,-3.1505404,0.00136413,0.194840831
TUG1,-1.5922607,0.00136842,0.195202731
SHISA2,-2.1031141,0.001379869,0.19633192
KCNN2,-1.98751,0.00138255,0.19646184
GUSB,-1.2945575,0.001436632,0.203107975
WFDC11,-1.1949265,0.001470747,0.206616642
CCNY,-1.2573005,0.00147858,0.20745479
NKX3-2,-2.8454967,0.001479894,0.207377308
PEG3,-3.2148902,0.001483114,0.207566792
RORB,-4.072926,0.001484259,0.20746577
CHRNA6,-1.5219359,0.001493739,0.208266923
PCDH17,-2.8110542,0.001494102,0.208056557
C6orf176,-1.8474473,0.001499422,0.208536
USP11,-1.1227442,0.001503312,0.208815734
RAPH1,-1.3310629,0.001520797,0.210717651
OLFM4,-2.3979442,0.001524882,0.211020505
RS1,-1.3989543,0.001524896,0.210759947
CACNA1C,-1.1983906,0.001529523,0.211136845
SSR2,-1.105115,0.001536893,0.211891044
C1QTNF2,-1.8549387,0.001560096,0.214027857
SLC6A6,-1.2634091,0.001571256,0.215027898
GABRE,-2.3849669,0.001572709,0.214962003
NKAPL,-2.1250107,0.001579544,0.215630988
MGAT5B,-1.8638114,0.001585401,0.216165103
DOK5,-4.994076,0.001591249,0.21669655
PDGFRB,-1.5320798,0.001591473,0.216461813
MYOC,-2.132283,0.00159269,0.216098345
C1orf175,-1.1577756,0.001611157,0.217806136
SOX7,-1.7959534,0.001619405,0.218655107
HEPACAM,-2.372602,0.001635023,0.220496001
HEPN1,-2.372602,0.001635023,0.220496001
TNFRSF11B,-1.4491647,0.001639984,0.220629427
LAMA1,-1.7667428,0.00166365,0.223542712
MAP2K2,-1.0880185,0.00166668,0.223679292
ANGPT2,-2.1442184,0.001681296,0.224826301
CGA,-2.4410746,0.001699983,0.226779414
MPHOSPH6,-1.7567289,0.001705026,0.227179354
KIAA1143,-1.2529315,0.001733545,0.2298767
RNF186,-1.5129651,0.001735565,0.229870314
TP53I3,-1.4964807,0.001740719,0.230278445
TTLL2,-1.2790023,0.001744276,0.230474639
MNX1,-1.2042967,0.001751332,0.230857979
SLC22A16,-1.3451275,0.001761857,0.231421755
EFNB1,-1.4295466,0.001762695,0.231258505
CCND3,-1.0592343,0.001799984,0.235317219
CIDEA,-3.2494764,0.001818929,0.237235749
MAPK4,-2.5806015,0.00182114,0.237245713
SRGN,-1.3153067,0.001826375,0.237649037
BID,-1.5926962,0.001841833,0.239100494
FJX1,-2.9889028,0.001847242,0.239522833
FBXW11,-1.306019,0.001847974,0.239338483
8-Sep,-1.3473033,0.001855683,0.239221674
EDIL3,-8.887028,0.001876289,0.241318164
TSPAN5,-1.1422696,0.001877252,0.241162922
FGF1,-1.6532295,0.001880182,0.240982044
DNAH10,-1.5000049,0.001883804,0.241168116
SNCA,-1.4929706,0.001891969,0.241934712
MMP10,-12.356588,0.001898086,0.242437942
EPYC,-3.3414328,0.001902796,0.242760531
EPHX4,-3.8787682,0.001903569,0.242580602
CD34,-2.0184977,0.001915295,0.24379536
LRRC58,-1.0889225,0.001915811,0.243582022
B3GNT7,-1.5217632,0.001922546,0.244158982
ISM2,-1.1247195,0.001928261,0.244605184
PTPRN2,-2.061258,0.00193147,0.244454153
ROR2,-6.025584,0.001940481,0.244758301
HTRA3,-1.7493912,0.001942016,0.244674218
NAA25,-1.4246185,0.001969226,0.247821405
CX3CL1,-1.3172737,0.002002751,0.250339406
S100A8,-1.9284768,0.002014737,0.251554679
C2orf49,-1.3781896,0.002015084,0.251315564
ALDH1A2,-2.1268663,0.002030412,0.252095471
PLXNA1,-1.0671297,0.002055409,0.254630083
SFXN1,-1.4633334,0.002058338,0.254709045
GPIHBP1,-1.4046429,0.002061678,0.254838562
LOC494141,-1.5400862,0.002064069,0.254850654
TTYH1,-1.6450111,0.002064466,0.25461666
GPC6,-2.447511,0.002066035,0.254527764
LRRN4CL,-3.37647,0.002068239,0.254517047
PCBP4,-1.2802389,0.002102621,0.256475945
IRX6,-1.2856768,0.002109913,0.257083129
SEC61B,-1.4130992,0.002112203,0.257080373
FGFBP2,-1.3314577,0.002117199,0.256844429
LOC653566,-1.2754302,0.002117792,0.256636169
SPCS2,-1.2754302,0.002117792,0.256636169
PKDREJ,-1.6322275,0.002121118,0.256759195
NAP1L5,-2.0179486,0.002121881,0.256572144
EPC2,-1.3508248,0.002139896,0.258469196
NRBF2,-1.7689412,0.00214631,0.258962433
VASP,-1.9942557,0.002147223,0.258791572
LCE1C,-1.1382973,0.002147951,0.258598845
KGFLP2,-1.7108523,0.002152777,0.258899404
HMCN1,-9.190869,0.002156988,0.259125401
FSCN1,-1.5310683,0.002162936,0.259279377
BPI,-1.5856787,0.002182392,0.261048374
G6PC,-1.3364694,0.002224835,0.264984311
HIST1H1A,-1.7353525,0.0022428,0.266267835
LOC645195,-1.3941315,0.00224871,0.26640027
CDSN,-1.4904311,0.002260723,0.267253533
NKX2-2,-1.9036309,0.002283086,0.268469226
USP1,-1.4255029,0.002299857,0.269870164
MYL9,-1.7352904,0.002310945,0.270599683
LEFTY2,-1.527492,0.002324491,0.271613509
INPP5K,-1.2064685,0.002342315,0.272835504
C1QL2,-1.5646124,0.002343222,0.272655394
PLP1,-2.8776505,0.002350307,0.273193739
LOC654433,-4.0657115,0.002355861,0.273553174
KCNJ6,-1.9237561,0.002360121,0.273761704
ARHGEF4,-4.1210465,0.002367576,0.274054316
KIAA1919,-1.1956762,0.002384259,0.275125625
LRRC8B,-1.3550057,0.002389283,0.275134034
PSMA8,-1.4287797,0.002392697,0.275241862
CTNND1,-1.9481597,0.002393936,0.275099618
EMP1,-2.763448,0.002450255,0.279547907
TDRD7,-1.3612547,0.002452279,0.279491911
ARAP2,-1.9867333,0.002470248,0.28096358
GH2,-1.374374,0.002473149,0.280718799
CHAC2,-1.4692929,0.002525043,0.285733588
APCDD1,-7.274689,0.002527044,0.285669139
AK7,-1.636767,0.002547057,0.287346792
SLC16A3,-1.4605027,0.002550778,0.287183473
RNF165,-1.5154392,0.002566475,0.2880752
C18orf23,-1.5154392,0.002566475,0.2880752
APLP2,-1.5423483,0.002594529,0.290930204
TNPO1,-1.265591,0.0026055,0.291865914
FLJ43390,-1.1832083,0.002606035,0.291631839
ZNF644,-1.5906154,0.0026109,0.291882285
PRB3,-1.077875,0.00261326,0.291852576
CNTNAP3B,-1.772985,0.002613516,0.291588093
ASS1,-4.037528,0.002614298,0.291090778
OTOP3,-1.0692925,0.002621414,0.291008354
DPH3,-1.3450323,0.002633914,0.291812955
OSBPL11,-1.337552,0.00264229,0.292449437
RBM27,-1.789113,0.002687593,0.295696486
SLC16A1,-2.3377936,0.002695852,0.296311756
LOC100129066,-1.3748174,0.002696405,0.296079687
ROPN1B,-11.977395,0.002717911,0.297559089
ALDH1L1,-1.5871922,0.002746432,0.300385578
NPR3,-3.0421376,0.002747458,0.300202385
FAM193B,-1.620699,0.002779911,0.303449938
HABP2,-1.436997,0.00278672,0.303894722
SLC7A10,-3.136436,0.002791722,0.30414171
LRP3,-3.136436,0.002791722,0.30414171
CERK,-1.5263419,0.002825247,0.307492542
PPARGC1A,-3.084501,0.002833613,0.308101338
FILIP1,-2.0693016,0.002860197,0.310384471
TATDN2,-1.1418709,0.002883808,0.312336611
CXCL2,-4.5031233,0.002908464,0.314088707
SCN3B,-1.2092317,0.002909166,0.313859502
GLYAT,-1.7760956,0.002909494,0.313590449
GAPDHL7,-1.5904927,0.00291482,0.313556189
ERAP1,-1.9278306,0.002915769,0.313354961
HIAT1,-1.3016801,0.002921211,0.313636494
COL6A1,-2.3037155,0.002949818,0.315792497
CCNH,-1.1842344,0.002981225,0.318541044
EYA1,-2.1588209,0.002988605,0.319022824
GAD2,-1.1196918,0.00301429,0.321147563
GPR39,-1.0808746,0.003036556,0.322900629
PHKG1,-1.3304155,0.003067128,0.325528665
CXorf42,-1.199522,0.003075836,0.325830468
PROCA1,-1.1198056,0.00308295,0.326272988
C14orf162,-1.6474007,0.003095598,0.326678235
ECM2,-2.006286,0.003142657,0.329454169
STRAP,-1.2720039,0.003143053,0.329185233
COX6B2,-1.1628511,0.003148088,0.32909219
ARHGAP29,-1.6501379,0.00316856,0.330300125
MMP1,-5.0486693,0.003178973,0.331075011
PALMD,-2.9033175,0.003188215,0.331416256
LOC440934,-2.138671,0.003192443,0.331545696
ACAN,-3.5266259,0.003216365,0.33309608
ATF4,-1.4390489,0.003229779,0.334173864
DMBT1,-1.3079084,0.003269855,0.336752622
NPAS4,-1.0973797,0.003282247,0.337403476
DDX24,-2.4696996,0.003290474,0.337936575
P4HA1,-1.4753755,0.00329753,0.338036411
LOC652671,-1.4684358,0.003298696,0.337844226
PML,-1.4684358,0.003298696,0.337844226
CORIN,-2.5762515,0.003316221,0.339014177
SOD2,-1.5362265,0.003319257,0.338390628
PRKG1,-1.3448311,0.003332719,0.339140812
SYNM,-4.4366546,0.003363009,0.341285517
CCR10,-1.1978979,0.00336492,0.341167924
PAM,-2.470731,0.003378877,0.341647788
GDPD5,-1.287816,0.003434667,0.344467991
FAM13A,-2.6409385,0.003445341,0.345226919
KLHDC5,-1.2651198,0.003460204,0.346091999
KPNA4,-1.3050251,0.00347816,0.34664001
SPINK1,-2.300676,0.00348167,0.346678848
MCL1,-1.6528331,0.003500029,0.348194922
FOXL2,-1.8603724,0.003537462,0.351289898
DUSP2,-1.341547,0.003554707,0.35237265
SMOC1,-1.8097081,0.003555741,0.352160949
LOC646050,-1.1331623,0.003572926,0.353233312
SFRP2,-36.299202,0.003594213,0.354391919
STMN4,-1.1604735,0.00362608,0.356269622
GSN,-1.7305905,0.0036296,0.356300407
CHCHD4,-1.2592845,0.00363109,0.35613209
VSTM2L,-2.125557,0.003654185,0.358081115
C1QTNF7,-1.8008391,0.003666482,0.358653635
KIF1A,-4.7611456,0.003688303,0.359837861
BRI3,-1.3359782,0.003699266,0.360274763
PKN2,-1.4196962,0.003710083,0.360696051
ANXA8L2,-3.1693678,0.003711549,0.359893977
GABRR3,-1.2241137,0.003755104,0.36316658
TSPYL5,-1.6654783,0.003763843,0.363379233
ATP5S,-1.4717354,0.00377298,0.363314426
MFAP5,-1.5827882,0.003780511,0.363724419
CHPF2,-1.2744982,0.003807959,0.365731908
HRCT1,-2.6339047,0.003851236,0.368931848
APLN,-2.421582,0.003851809,0.368668885
UHMK1,-1.3831843,0.003859205,0.368424764
HMOX1,-1.3770413,0.003861356,0.36831369
KRT9,-1.5104029,0.00386554,0.368080866
KIF19,-2.7410262,0.003876544,0.368812698
RC3H1,-1.8490862,0.003880642,0.368886701
WISP3,-2.0341778,0.003900134,0.370106404
OXTR,-3.5028548,0.003912816,0.370993007
EFNB2,-2.0697672,0.00391426,0.37081357
TMPRSS5,-1.4176227,0.003932001,0.372176937
PSMD12,-1.7066516,0.003954904,0.373390678
TM4SF19,-2.6370916,0.003994008,0.376442844
SCEL,-1.5072104,0.004026452,0.378537563
SERBP1,-1.402473,0.004028579,0.378097749
AKR1B10,-3.5587823,0.004042275,0.37874347
NCK1,-1.2967381,0.004059524,0.38003912
UMPS,-1.2930589,0.004060228,0.379785116
BRD4,-1.7858975,0.004079166,0.381235664
C5AR1,-1.6578523,0.004094999,0.382072662
LOC100288276,-1.2705852,0.004111337,0.382954012
PTPN5,-1.9234357,0.004122436,0.383345122
MAP4K5,-1.1012284,0.004134,0.383778196
PLEKHG3,-1.595441,0.004146144,0.384263503
SPTB,-1.595441,0.004146144,0.384263503
TIAM2,-3.0110576,0.004160395,0.384302214
ADRB3,-1.2129872,0.00416441,0.383398317
CD59,-1.549119,0.004212911,0.386901896
SFRS9,-1.4102823,0.004218735,0.38711681
GATC,-1.4102823,0.004218735,0.38711681
COL12A1,-2.689358,0.004220605,0.386968902
CCDC23,-1.4894084,0.004259425,0.388923671
SKAP2,-2.3836243,0.004280397,0.389877493
FAT1,-3.9742658,0.004297258,0.391092701
PLXDC2,-2.2372756,0.004302305,0.39123165
BRD3,-1.2952735,0.004328755,0.392352553
LOC100128844,-2.1661162,0.004359508,0.393854971
GJB2,-49.971634,0.00436326,0.393873732
PPEF1,-2.763798,0.004375328,0.39464251
FERMT2,-2.0039,0.004376522,0.394430079
E2F6,-1.1276262,0.004392882,0.393987305
C22orf23,-1.5676985,0.004393081,0.393687326
CSDE1,-1.3942114,0.00439385,0.393439033
ARHGAP26,-1.2302781,0.004394298,0.393162293
PSRC1,-1.1869929,0.00440485,0.393789294
CRNN,-1.1328022,0.00441062,0.393988241
SYTL3,-1.5956798,0.004414218,0.393992911
LHPP,-1.1343327,0.00454403,0.402027235
KERA,-1.6984154,0.00454921,0.401845637
STAMBP,-1.1294115,0.004554283,0.401336692
FAM187B,-1.2458096,0.004562534,0.401109508
TGM5,-1.7959243,0.004583548,0.402320397
L1CAM,-1.1599162,0.004586553,0.401949129
GNS,-1.4605049,0.004598339,0.40266446
C5orf42,-1.169594,0.00460665,0.403074634
RUVBL1,-1.1967402,0.004612268,0.402931619
DDX58,-1.284969,0.004623586,0.403286344
GPR37L1,-1.2600309,0.004625189,0.403109699
C6orf225,-1.2483501,0.004627226,0.402971207
FNDC3B,-1.6609763,0.004628545,0.402770396
SCAND3,-2.1010005,0.004629747,0.40255975
SERPINB5,-3.9947398,0.004655195,0.404140015
CLIC4,-2.6771305,0.004662984,0.404184717
ANGPTL7,-2.3842652,0.004673538,0.404153705
TRIO,-1.4980106,0.00468252,0.404615608
RIPK1,-1.406243,0.004709995,0.40572772
PAX3,-1.1626009,0.004732286,0.406702072
CSF1R,-1.1728698,0.004737668,0.406849972
IGF2,-2.7848794,0.004740094,0.406744028
EPC1,-1.2778445,0.004781623,0.408415296
TESC,-1.5773345,0.004782887,0.40820947
SLC26A2,-2.465585,0.00478977,0.408483159
TMCC3,-1.7755697,0.004828483,0.409584387
CLIC5,-2.1220665,0.004889805,0.412581499
EXOC5,-1.228518,0.004914554,0.41404096
ROCK1,-1.1469077,0.00491781,0.414001398
CALD1,-1.6040068,0.004925707,0.414352231
C7orf11,-1.3922541,0.00494498,0.415344677
ZNF556,-2.0225995,0.004950622,0.415504484
SDCBP,-1.610898,0.004991316,0.417972885
FBXO11,-1.2224904,0.004994681,0.417625205
TBL1XR1,-1.6130513,0.005008106,0.418432887
UBE2D3,-1.066113,0.005012287,0.418467594
WDR16,-1.2674391,0.005032543,0.419843295
INTS2,-1.2750146,0.005033714,0.419625959
P2RX2,-1.1972952,0.005047079,0.420424741
FOXQ1,-5.3493595,0.005055381,0.420485837
PPP2R5C,-1.2266042,0.005061044,0.420642003
KCNA1,-1.5025513,0.005095112,0.421895737
KLK7,-5.541406,0.005111768,0.4229598
PLIN2,-2.0329225,0.005120861,0.422767778
RPN2,-1.8422953,0.005170706,0.425618015
NEFH,-3.225569,0.005192025,0.426740694
ABCC9,-1.6591119,0.005212041,0.427753057
FOLH1B,-2.8756852,0.005222114,0.427317395
ACADL,-1.8714571,0.005223013,0.427076454
FIBIN,-3.9547598,0.005242163,0.42801241
FRMPD3,-1.1904645,0.005257452,0.428630832
TNN,-11.807792,0.005279644,0.429494764
IFNE,-1.0971373,0.005283339,0.429167021
EAF1,-1.2318985,0.005292589,0.429290756
GRB2,-1.4152294,0.005339507,0.430894737
COL6A2,-1.8756791,0.005340401,0.430654101
OR2AG1,-1.152418,0.005352022,0.431278275
ABL2,-1.6487803,0.005360955,0.431372447
CILP2,-1.2059557,0.005374879,0.432179933
SEC24A,-1.5513453,0.005375595,0.43192498
FST,-3.6495569,0.005381722,0.432104874
AKR1B15,-1.6487979,0.005386466,0.431861642
MEX3C,-1.844479,0.005397103,0.432402488
FAM5C,-2.0999973,0.005402244,0.432191218
FOLH1,-2.9988446,0.005405703,0.432156763
PVRL1,-1.2479717,0.005424719,0.432743056
ARL13B,-2.341758,0.00544926,0.433766586
TNFRSF10B,-1.9465835,0.005449712,0.433491991
GPR107,-1.4193354,0.005491043,0.435221974
CDR1,-13.068543,0.005497209,0.435400139
KRT16P3,-12.183279,0.005499232,0.435250106
PODXL,-2.7160583,0.00550062,0.435050109
RRP1,-1.121512,0.005530604,0.437110423
SUMF2,-1.6783348,0.005535559,0.437191094
PLSCR4,-1.7968757,0.005543389,0.437498572
AFAP1L2,-1.8370814,0.005546832,0.437459636
SOSTDC1,-3.6615987,0.005567218,0.438134509
COL7A1,-2.2303698,0.005569094,0.437971974
PPM1L,-1.2504655,0.005569614,0.43770316
RPL13,-1.1940117,0.005587553,0.438492693
SMOX,-1.6360099,0.005594624,0.438737775
