,logFC,P.Value,adj.P.Val
COX18,1.1923971,0.001533486,0.261358274
TMC7,1.3127503,0.001535357,0.261276385
WDR27,1.7847915,0.001542933,0.262164111
LOC441869,1.131458,0.00157619,0.265783014
CHD2,1.2277116,0.001579231,0.265892261
NPLOC4,1.2658517,0.001579563,0.265545885
SF4,1.2718114,0.001588335,0.266617152
SESN3,2.8213677,0.001589667,0.266438194
RAB11FIP4,2.2511506,0.001621413,0.271349817
NCF1C,1.7430907,0.001631497,0.27140239
WFDC10B,1.148296,0.001632446,0.271154446
C7,7.3781877,0.001663927,0.275559621
GABPB1,1.5767411,0.001672885,0.27663098
POLR2J3,1.3214751,0.001684859,0.276553305
KBTBD5,1.04097,0.001689314,0.276467822
NAGPA,1.406874,0.001721673,0.279703876
ZNF394,1.2055346,0.001758507,0.283203672
NUP188,1.1687251,0.001765496,0.28391784
NLGN4X,1.2763157,0.001771029,0.284396003
MIOS,1.240002,0.00177461,0.284559878
C1orf131,1.4276756,0.001787986,0.28629158
LAMP1,1.5156176,0.001814234,0.28924408
LOC100132941,1.7575873,0.001868179,0.296145031
RAD17,1.0493734,0.001871594,0.295842322
EWSR1,1.0966401,0.001877179,0.295883334
ZNF649,1.1842439,0.001911817,0.300916195
LOC644390,1.4316398,0.001923458,0.302320319
C4orf41,1.1576452,0.001927722,0.302562445
GOLM1,1.332667,0.001931792,0.302773599
GPR68,1.7336476,0.001946843,0.304274338
COG4,1.1913742,0.002006602,0.311424053
HNF1B,1.2753127,0.002023576,0.313620467
FRMD7,2.0160735,0.002034797,0.314920284
LRWD1,1.1340985,0.002042401,0.315657525
DPM3,1.762886,0.002052572,0.316349477
KLHDC8B,1.3136102,0.002077121,0.319689598
MYO1F,1.283786,0.002090263,0.320823646
AGR3,7.5967507,0.002092364,0.320703053
SUFU,1.1528087,0.002106145,0.321927236
TRH,2.5450034,0.002134014,0.324402305
SYF2,1.4010644,0.002183628,0.331038557
TTC14,1.4201778,0.002189062,0.330959353
