category	evidence	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
radiosensitization	preclinical_synergy	Fury et al.	A phase 2 study of pemetrexed plus gemcitabine every 2 weeks for patients with recurrent or metastatic head and neck squamous cell cancer.	Cancer	2011	20922785	10.1002/cncr.25464		https://doi.org/10.1002/cncr.25464			pemetrexed;folate_pathway;radiosensitization;clinical_trial;preclinical	metadata_only
radiosensitization	clinical_landmark	Barlesi et al.	Pemetrexed and cisplatin as first-line chemotherapy for advanced non-small-cell lung cancer (NSCLC) with asymptomatic inoperable brain metastases: a multicenter phase II trial (GFPC 07-01).	Annals of oncology : official journal of the European Society for Medical Oncology	2011	21321089	10.1093/annonc/mdr003		https://doi.org/10.1093/annonc/mdr003			pemetrexed;cisplatin;radiosensitization;nsclc;clinical_trial	metadata_only
radiosensitization	preclinical_synergy	Ris	Photodynamic therapy as an adjunct to surgery for malignant pleural mesothelioma.	Lung cancer (Amsterdam, Netherlands)	2005	15916831	10.1016/j.lungcan.2005.03.024		https://doi.org/10.1016/j.lungcan.2005.03.024			pemetrexed;radiosensitization;mesothelioma;preclinical	metadata_only
radiosensitization	preclinical_synergy	Oettle et al.	A phase III trial of pemetrexed plus gemcitabine versus gemcitabine in patients with unresectable or metastatic pancreatic cancer.	Annals of oncology : official journal of the European Society for Medical Oncology	2005	16087696	10.1093/annonc/mdi309		https://doi.org/10.1093/annonc/mdi309			pemetrexed;radiosensitization;clinical_trial	metadata_only
radiosensitization	clinical_landmark	Spásová	[Treatment of the unresectable non small cell lung carcinoma].	Casopis lekaru ceskych	2005	16193938			https://pubmed.ncbi.nlm.nih.gov/16193938/			pemetrexed;cisplatin;carboplatin;radiosensitization;nsclc;resistance	metadata_only
radiosensitization	preclinical_synergy	Zinner et al.	Pemetrexed in advanced NSCLC: a review of the clinical data.	Oncology (Williston Park, N.Y.)	2004	15339061			https://pubmed.ncbi.nlm.nih.gov/15339061/			pemetrexed;cisplatin;carboplatin;radiosensitization;nsclc;mesothelioma;clinical_trial	metadata_only
radiosensitization	preclinical_synergy	Zinner et al.	Pemetrexed in the treatment of advanced non-small-cell lung cancer: a review of the clinical data.	Clinical lung cancer	2004	15117428	10.3816/clc.2004.s.006		https://doi.org/10.3816/clc.2004.s.006			pemetrexed;cisplatin;carboplatin;radiosensitization;nsclc;mesothelioma;clinical_trial	metadata_only
radiosensitization	preclinical_synergy	Bischof et al.	Radiosensitization by pemetrexed of human colon carcinoma cells in different cell cycle phases.	International journal of radiation oncology, biology, physics	2003	12909245	10.1016/s0360-3016(03)00595-9		https://doi.org/10.1016/s0360-3016(03)00595-9			pemetrexed;bcl2_apoptosis;folate_pathway;radiosensitization;preclinical;resistance	metadata_only
chemo_partner	clinical_landmark	Jänne et al.	First-Line Mobocertinib Versus Platinum-Based Chemotherapy in Patients With EGFR Exon 20 Insertion-Positive Metastatic Non-Small Cell Lung Cancer in the Phase III EXCLAIM-2 Trial.	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2025	39879577	10.1200/JCO-24-01269	PMC12054980	https://doi.org/10.1200/JCO-24-01269		jänne_2025_pmid39879577.xml	pemetrexed;cisplatin;carboplatin;egfr_tki;nsclc;clinical_trial	fulltext_xml
chemo_partner	preclinical_synergy	Karatkevich et al.	Chemotherapy increases CDA expression and sensitizes malignant pleural mesothelioma cells to capecitabine treatment.	Scientific reports	2024	39107509	10.1038/s41598-024-69347-x	PMC11303810	https://doi.org/10.1038/s41598-024-69347-x		karatkevich_2024_pmid39107509.xml	pemetrexed;cisplatin;mesothelioma;preclinical;resistance	fulltext_xml
chemo_partner	clinical_landmark	Zhou et al.	Amivantamab plus Chemotherapy in NSCLC with EGFR Exon 20 Insertions.	The New England journal of medicine	2023	37870976	10.1056/NEJMoa2306441		https://doi.org/10.1056/NEJMoa2306441			pemetrexed;carboplatin;egfr_tki;nsclc;clinical_trial	metadata_only
chemo_partner	preclinical_synergy	Sun et al.	Picropodophyllin inhibits the growth of pemetrexed-resistant malignant pleural mesothelioma via microtubule inhibition and IGF-1R-, caspase-independent pathways.	Translational lung cancer research	2022	35529797	10.21037/tlcr-21-765	PMC9073748	https://doi.org/10.21037/tlcr-21-765		sun_2022_pmid35529797.xml	pemetrexed;mesothelioma;preclinical;resistance	fulltext_xml
chemo_partner	preclinical_synergy	Oien et al.	Quinacrine Has Preferential Anticancer Effects on Mesothelioma Cells With Inactivating NF2 Mutations.	Frontiers in pharmacology	2021	34621176	10.3389/fphar.2021.750352	PMC8490927	https://doi.org/10.3389/fphar.2021.750352		oien_2021_pmid34621176.xml	pemetrexed;cisplatin;mesothelioma;preclinical;resistance	fulltext_xml
chemo_partner	preclinical_synergy	Lin et al.	MiR-30a sensitized lung cancer against neoadjuvant chemotherapy by depressing autophagy.	Japanese journal of clinical oncology	2021	33537721	10.1093/jjco/hyaa272		https://doi.org/10.1093/jjco/hyaa272			pemetrexed;cisplatin;bcl2_apoptosis;autophagy;nsclc;preclinical;resistance	metadata_only
chemo_partner	preclinical_synergy	Szlosarek et al.	Expansion Phase 1 Study of Pegargiminase Plus Pemetrexed and Cisplatin in Patients With Argininosuccinate Synthetase 1-Deficient Mesothelioma: Safety, Efficacy, and Resistance Mechanisms.	JTO clinical and research reports	2020	34589965	10.1016/j.jtocrr.2020.100093	PMC8474273	https://doi.org/10.1016/j.jtocrr.2020.100093		szlosarek_2020_pmid34589965.xml	pemetrexed;cisplatin;mesothelioma;clinical_trial;resistance	fulltext_xml
chemo_partner	preclinical_synergy	Wu et al.	Personalized drug testing in a patient with non-small-cell lung cancer using cultured cancer cells from pleural effusion.	The Journal of international medical research	2020	32954884	10.1177/0300060520955058	PMC7509736	https://doi.org/10.1177/0300060520955058		wu_2020_pmid32954884.xml	pemetrexed;cisplatin;nsclc;preclinical;resistance	fulltext_xml
chemo_partner	preclinical_synergy	Li Petri et al.	Impact of hypoxia on chemoresistance of mesothelioma mediated by the proton-coupled folate transporter, and preclinical activity of new anti-LDH-A compounds.	British journal of cancer	2020	32493992	10.1038/s41416-020-0912-9	PMC7434895	https://doi.org/10.1038/s41416-020-0912-9		li_2020_pmid32493992.xml	pemetrexed;folate_pathway;mesothelioma;preclinical;resistance	fulltext_xml
chemo_partner	preclinical_synergy	Suzuki et al.	Inhibition of miR-18a-3p reduces proliferation of mesothelioma cells and sensitizes them to cisplatin.	Oncology letters	2020	32382354	10.3892/ol.2020.11504	PMC7202271	https://doi.org/10.3892/ol.2020.11504			pemetrexed;cisplatin;bcl2_apoptosis;mesothelioma;preclinical;resistance	metadata_only
chemo_partner	preclinical_synergy	Cao et al.	Gemcitabine inhibits cisplatin resistance in cisplatin-resistant A549 cells by upregulating trx-interacting protein and inducing cell cycle arrest.	Biochemical and biophysical research communications	2020	32014255	10.1016/j.bbrc.2020.01.130		https://doi.org/10.1016/j.bbrc.2020.01.130			pemetrexed;cisplatin;preclinical;resistance	metadata_only
chemo_partner	preclinical_synergy	Zheng et al.	CircPVT1 contributes to chemotherapy resistance of lung adenocarcinoma through miR-145-5p/ABCC1 axis.	Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie	2020	31986409	10.1016/j.biopha.2020.109828		https://doi.org/10.1016/j.biopha.2020.109828			pemetrexed;cisplatin;mapk;nsclc;preclinical;resistance	metadata_only
